Evaporation,Sunshine,WindSpeed,Humidity,Pressure,Temperature,Rainfall
3.4,6.3,13,48.5,1017.35,17.575,0
4.4,9.7,10.5,58,1010.4,21.025,3.6
5.8,3.3,6,75.5,1008.35,18.175,3.6
7.2,9.1,27,59,1006.25,14.1,39.8
5.6,10.6,24,58.5,1018.4,12.55,2.8
5.8,8.2,22,63.5,1022.75,12.2,0
4.2,8.4,22.5,55,1023.4,13.5,0.2
5.6,4.6,17.5,61,1025.2,13.225,0
4,4.1,18,59,1024.4,15.325,0
5.4,7.7,6.5,57,1022.4,16.55,16.2
4.2,11.9,7.5,54,1022.75,18.225,0
7.2,12.5,8.5,44.5,1021.85,19.65,0.2
7.2,13,6.5,45.5,1019.55,20.525,0
6.2,12.4,13.5,43.5,1015.2,23.35,0
8.8,13.1,13,30.5,1015.95,22.6,0
8.4,11.1,8,46,1015.35,23.575,0
7.2,8.4,12.5,47.5,1012.1,23.75,0
7.2,10.1,8.5,42.5,1014.7,22.6,1.2
7.4,13,10.5,42.5,1015.2,24.025,0.6
8,10.4,7.5,44,1016.1,25.95,0
8.8,9.5,16.5,43,1009.45,25.925,0
9.2,0,8.5,80,1009.8,17.65,0.4
2.8,0.6,13,85,1014.45,15.525,25.8
1.2,7.5,7.5,65.5,1019.95,19.225,0.4
4.4,8.1,12,58,1020.5,21.975,0
6.8,8.9,14,56.5,1018.1,21.85,0
6.6,2.3,18.5,62.5,1019.8,18.3,0.2
4.4,10.7,8.5,46,1017,21.6,0
7,0.4,12,74.5,1018.05,19.5,0
2.6,0.5,6,66,1015.25,19.55,0.4
2.4,0.2,13,86,1014.55,17.2,22.6
1.6,12,7.5,56,1011.7,19.95,4.2
6.6,4.7,24,66,1006.25,20.3,0.2
3.8,11.8,23,57,1006.8,20.925,6.6
8.4,9.8,20.5,66,1015.15,18.85,0
6,6.3,11,66,1017.45,21.55,0
4.2,8.8,6,72,1013,21.775,0
4.2,8.8,10,59,1013.1,22.25,4
6.6,11.1,16.5,51,1009.65,23.4,0
10.4,10,8.5,47.5,1011.05,20.475,0
4.8,2.3,12,61.5,1017.7,15.125,0.6
