MinTemp,MaxTemp,avgTemp,Evaporation,Sunshine,WindSpeed9am,WindSpeed3pm,WindSpeedAvg,Humidity9am,Humidity3pm,HumidityAvg,Pressure9am,Pressure3pm,PressureAvg,Temp9am,Temp3pm,TempAvg,Rainfall
8,24.3,,3.4,6.3,6,20,,68,29,,1019.7,1015,,14.4,23.6,,0
14,26.9,,4.4,9.7,4,17,,80,36,,1012.4,1008.4,,17.5,25.7,,3.6
13.7,23.4,,5.8,3.3,6,6,,82,69,,1009.5,1007.2,,15.4,20.2,,3.6
13.3,15.5,,7.2,9.1,30,24,,62,56,,1005.5,1007,,13.5,14.1,,39.8
7.6,16.1,,5.6,10.6,20,28,,68,49,,1018.3,1018.5,,11.1,15.4,,2.8
6.2,16.9,,5.8,8.2,20,24,,70,57,,1023.8,1021.7,,10.9,14.8,,0
6.1,18.2,,4.2,8.4,19,26,,63,47,,1024.6,1022.2,,12.4,17.3,,0.2
8.3,17,,5.6,4.6,11,24,,65,57,,1026.2,1024.2,,12.1,15.5,,0
8.8,19.5,,4,4.1,19,17,,70,48,,1026.1,1022.7,,14.1,18.9,,0
8.4,22.8,,5.4,7.7,7,6,,82,32,,1024.1,1020.7,,13.3,21.7,,16.2
9.1,25.2,,4.2,11.9,6,9,,74,34,,1024.4,1021.1,,14.6,24,,0
8.5,27.3,,7.2,12.5,2,15,,54,35,,1023.8,1019.9,,16.8,26,,0.2
10.1,27.9,,7.2,13,6,7,,62,29,,1022,1017.1,,17,27.1,,0
12.1,30.9,,6.2,12.4,7,20,,67,20,,1017.3,1013.1,,19.7,30.7,,0
10.1,31.2,,8.8,13.1,6,20,,45,16,,1018.2,1013.7,,18.7,30.4,,0
12.4,32.1,,8.4,11.1,7,9,,70,22,,1017.9,1012.8,,19.1,30.7,,0
13.8,31.2,,7.2,8.4,6,19,,72,23,,1014.4,1009.8,,20.2,29.8,,0
11.7,30,,7.2,10.1,6,11,,59,26,,1016.4,1013,,20.1,28.6,,1.2
12.4,32.3,,7.4,13,4,17,,60,25,,1017.1,1013.3,,20.2,31.2,,0.6
15.6,33.4,,8,10.4,2,13,,61,27,,1018.5,1013.7,,22.8,32,,0
15.3,33.4,,8.8,9.5,2,31,,60,26,,1012.4,1006.5,,22.2,32.8,,0
16.4,19.4,,9.2,0,6,11,,88,72,,1010.7,1008.9,,16.5,18.3,,0.4
12.8,18.5,,2.8,0.6,13,13,,91,79,,1014,1014.9,,14,16.8,,25.8
12,24.3,,1.2,7.5,6,9,,74,57,,1020.7,1019.2,,17.8,22.8,,0.4
15.4,28.4,,4.4,8.1,9,15,,85,31,,1022.4,1018.6,,16.8,27.3,,0
15.6,26.9,,6.8,8.9,6,22,,65,48,,1019.7,1016.5,,19.8,25.1,,0
13.3,22.2,,6.6,2.3,20,17,,70,55,,1021,1018.6,,16.5,21.2,,0.2
12.9,28,,4.4,10.7,6,11,,61,31,,1019.2,1014.8,,18.8,26.7,,0
15.1,24.3,,7,0.4,7,17,,69,80,,1019,1017.1,,18.9,19.7,,0
13.6,24.1,,2.6,0.5,6,6,,83,49,,1017.2,1013.3,,17.3,23.2,,0.4
15.1,20.4,,2.4,0.2,6,20,,82,90,,1015,1014.1,,17,16.3,,22.6
11.6,26.3,,1.6,12,6,9,,66,46,,1013.9,1009.5,,16.7,25.2,,4.2
16.6,24.2,,6.6,4.7,13,35,,72,60,,1007.9,1004.6,,20.5,19.9,,0.2
13.3,26.5,,3.8,11.8,20,26,,74,40,,1007.3,1006.3,,18.8,25.1,,6.6
14.5,21.8,,8.4,9.8,11,30,,69,63,,1015,1015.3,,18.6,20.5,,0
16.3,26.8,,6,6.3,13,9,,78,54,,1018.8,1016.1,,18.6,24.5,,0
17.2,25.8,,4.2,8.8,6,6,,70,74,,1014.5,1011.5,,21.5,22.6,,0
16.5,28.2,,4.2,8.8,7,13,,76,42,,1014.8,1011.4,,18,26.3,,4
15,29.4,,6.6,11.1,9,24,,78,24,,1010.8,1008.5,,20.6,28.6,,0
14.9,24.8,,10.4,10,11,6,,58,37,,1011.7,1010.4,,19.3,22.9,,0
11.8,18.5,,4.8,2.3,9,15,,60,63,,1018,1017.4,,13.8,16.4,,0.6
11.7,21.5,,4.2,7.3,15,24,,66,51,,1021.1,1019.6,,15.7,19.4,,0
9.6,20.3,,5,3.6,22,20,,70,49,,1021.9,1019.3,,15.8,19.2,,0
8.9,27.1,,4.4,12.7,6,11,,63,37,,1018.1,1012.5,,15.8,25,,0
10.1,29.9,,6.8,8.8,2,13,,63,36,,1012.6,1010.2,,17.4,29.1,,0
15.5,21.1,,6.4,0.9,6,7,,93,86,,1010.1,1008.6,,16.6,20,,5.4
10.8,21.7,,2.8,10.6,13,20,,59,40,,1017.6,1016.8,,15.3,20.8,,1.4
7.5,20.9,,6.6,8.7,13,20,,61,43,,1020.6,1018.3,,15.3,19.8,,0
12.8,21,,6.4,0.8,7,6,,72,54,,1018,1015.6,,16.1,20,,0
12.6,23.1,,1.6,2.3,4,13,,97,74,,1015.8,1014.1,,15.3,20.4,,3.4
14.8,29.5,,1.8,8.1,6,22,,81,48,,1012.9,1008.3,,21,28.2,,6.4
